SAMPLE,Recvd Wt.,Au,Ag,Al,As,B,Ba,Be,Bi,Ca,Cd,Ce,Co,Cr,Cs,Cu,Fe,Ga,Ge,Hf,Hg,In,K,La,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,foldername,filename,Au_2
PN0000996712,0.26,0.009,0.29,2.52,8.7,<10,120,0.57,0.16,0.41,0.13,27.4,15.3,25,1.16,87.7,4.26,6.76,0.06,0.07,0.05,0.028,0.16,15.5,18.4,1.20,765,0.41,0.01,0.15,15.3,310,8.2,11.1,<0.001,0.01,0.52,10.1,0.2,0.5,32.2,<0.01,0.03,4.6,0.019,0.10,0.47,90,0.07,10.50,74,2.3,Soil Certificates,TU22073852.csv,
PN0000996713,0.20,0.003,0.09,2.82,11.6,<10,110,0.55,0.22,0.49,0.22,28.2,17.4,25,1.10,95.0,4.64,7.06,0.06,0.08,0.05,0.029,0.28,14.4,17.0,1.54,1000,0.37,0.01,0.27,16.6,510,11.5,15.3,<0.001,0.01,0.72,9.6,0.3,0.5,29.2,<0.01,0.05,3.7,0.028,0.11,0.36,96,0.06,9.95,84,2.6,Soil Certificates,TU22073852.csv,
PN0000996714,0.21,0.022,0.08,0.96,2.8,<10,110,0.23,0.07,7.62,0.17,24.5,6.4,7,0.32,61.3,1.98,2.11,<0.05,0.05,0.04,0.017,0.07,11.1,7.8,0.43,512,0.76,0.01,0.10,4.8,290,2.6,2.6,<0.001,0.02,0.30,2.6,0.3,<0.2,77.3,<0.01,0.04,1.0,<0.005,0.02,0.20,13,<0.05,3.41,45,1.3,Soil Certificates,TU22073852.csv,
PN0000996715,0.28,0.014,0.03,2.40,9.5,<10,50,0.37,0.04,0.61,0.03,6.66,21.0,3,0.14,17.3,5.57,7.50,0.06,0.02,0.04,0.014,0.01,3.4,12.9,1.46,1170,0.20,0.01,<0.05,9.2,440,2.6,0.7,<0.001,<0.01,1.17,7.3,0.2,0.2,45.1,<0.01,0.04,0.7,0.038,<0.02,0.14,142,0.08,4.86,43,0.6,Soil Certificates,TU22073852.csv,
PN0000996716,0.21,0.014,0.05,2.08,24.2,<10,240,0.64,0.04,0.84,0.08,32.8,14.8,18,0.18,67.5,3.95,4.68,0.09,0.05,0.12,0.014,0.05,28.1,15.2,1.18,1370,0.26,0.01,0.08,11.2,290,3.1,2.0,<0.001,0.01,0.64,4.7,0.5,<0.2,31.3,0.01,0.01,1.5,0.006,0.02,0.33,54,0.11,28.9,74,1.3,Soil Certificates,TU22073852.csv,
PN0000996717,0.21,0.020,0.08,0.83,5.1,<10,90,0.57,0.15,0.40,0.07,54.7,18.7,12,0.91,83.5,4.21,1.64,0.10,0.03,0.11,0.021,0.08,28.9,6.2,0.22,1075,0.82,0.01,0.12,11.4,440,7.4,3.9,<0.001,0.01,0.23,5.1,0.3,<0.2,27.6,<0.01,0.08,3.9,0.005,0.04,0.61,29,0.25,13.60,94,0.9,Soil Certificates,TU22073852.csv,
PN0000996718,0.18,0.016,0.12,0.75,3.2,<10,100,0.43,0.07,13.55,0.13,53.6,16.9,11,0.48,66.3,3.00,2.61,0.13,0.02,0.04,0.032,0.05,36.7,11.6,0.52,999,0.80,0.01,<0.05,8.6,780,6.2,1.6,<0.001,0.01,0.16,13.8,0.6,<0.2,86.5,<0.01,0.07,2.6,<0.005,<0.02,0.56,36,0.13,23.9,67,0.7,Soil Certificates,TU22073852.csv,
PN0000996719,0.19,0.029,0.14,1.73,70.8,<10,150,0.63,0.20,0.58,0.17,36.8,9.2,17,0.77,41.3,3.34,4.98,0.07,0.06,0.09,0.024,0.27,19.8,13.5,0.81,851,0.74,0.01,0.42,11.6,320,13.7,12.1,<0.001,0.01,0.80,3.7,0.4,0.4,31.6,<0.01,0.05,3.6,0.017,0.11,0.40,33,0.07,12.15,72,1.9,Soil Certificates,TU22073852.csv,
PN0000996720,0.18,0.006,0.06,2.28,8.9,<10,90,0.45,0.19,0.39,0.08,40.3,14.4,20,0.87,69.2,4.03,5.25,0.05,0.07,0.03,0.025,0.09,17.8,34.3,0.86,460,0.33,0.01,0.21,13.5,510,8.9,5.6,<0.001,<0.01,0.64,5.0,0.3,0.3,29.0,<0.01,0.27,4.0,0.016,0.04,0.56,38,0.10,11.05,80,1.9,Soil Certificates,TU22073852.csv,
PN0000996721,0.22,0.025,0.15,2.16,13.8,<10,140,0.55,0.22,0.87,0.09,30.7,21.4,35,1.35,94.0,4.97,5.93,0.06,0.07,0.07,0.029,0.14,16.7,21.0,0.94,1095,1.56,0.01,0.13,21.6,460,7.2,8.5,<0.001,<0.01,0.39,9.3,0.3,0.3,40.2,<0.01,0.08,3.2,0.009,0.07,0.69,78,1.14,12.95,66,1.8,Soil Certificates,TU22073852.csv,
PN0000996722,0.21,0.008,0.06,0.90,21.9,<10,90,0.39,0.14,6.87,0.08,28.5,11.9,8,0.62,46.8,2.56,2.13,<0.05,0.04,0.03,0.019,0.11,14.7,8.2,0.46,623,0.49,0.01,0.12,8.3,430,4.9,6.2,<0.001,0.01,0.41,4.0,0.2,0.2,72.1,<0.01,0.06,1.6,0.005,0.05,0.37,20,0.10,11.10,51,1.0,Soil Certificates,TU22073852.csv,
PN0000996723,0.22,0.028,0.09,2.16,8.4,<10,70,0.49,0.43,0.80,0.06,70.8,13.7,7,0.85,139.5,3.88,5.43,0.12,0.04,0.06,0.036,0.04,52.9,19.0,0.70,744,0.23,<0.01,<0.05,6.5,380,12.3,2.4,<0.001,<0.01,0.43,5.9,0.3,0.2,34.1,0.01,0.24,4.4,<0.005,0.02,0.64,26,0.13,58.5,78,1.1,Soil Certificates,TU22073852.csv,
PN0000996724,0.19,0.022,0.10,2.47,36.1,<10,60,0.38,0.40,0.51,0.08,61.8,18.0,16,0.72,81.0,4.76,6.09,0.11,0.06,0.05,0.037,0.05,45.4,26.3,0.77,678,0.53,<0.01,0.23,11.2,390,16.4,3.1,<0.001,<0.01,0.98,5.3,0.4,0.2,38.9,<0.01,0.30,3.6,0.015,0.03,0.54,37,0.14,19.70,84,1.9,Soil Certificates,TU22073852.csv,
PN0000996725,0.22,0.014,0.06,2.10,10.1,<10,60,0.36,0.32,0.50,0.07,101.0,15.9,12,0.51,85.8,4.41,5.85,0.14,0.05,0.06,0.040,0.06,61.9,29.2,0.72,834,0.59,<0.01,0.12,9.5,510,9.5,3.5,<0.001,0.01,0.68,5.8,0.3,0.2,41.8,<0.01,0.20,4.1,0.005,0.03,0.66,32,0.07,33.5,75,1.7,Soil Certificates,TU22073852.csv,
PN0000996726,0.20,0.006,0.07,1.46,8.9,10,120,0.50,0.26,4.80,0.08,35.9,12.6,25,5.38,44.2,3.25,4.36,0.08,0.03,0.01,0.016,0.40,18.1,48.2,1.21,573,1.40,0.02,0.41,16.4,540,6.4,26.2,<0.001,0.03,0.18,4.8,0.5,0.2,248,<0.01,0.09,3.6,0.041,0.15,3.53,42,0.59,9.12,62,1.0,Soil Certificates,TU22073852.csv,
PN0000996727,0.21,0.004,0.09,2.04,16.0,<10,100,0.50,0.29,1.23,0.11,58.6,13.6,20,1.47,81.4,3.34,5.06,0.08,0.05,0.02,0.031,0.16,33.4,25.8,0.76,565,0.49,0.01,0.17,14.2,370,8.3,12.8,<0.001,0.01,0.49,4.8,<0.2,0.3,29.9,<0.01,0.18,4.1,0.012,0.09,0.49,33,0.13,15.15,74,1.4,Soil Certificates,TU22073852.csv,
PN0000996728,0.22,0.023,0.09,2.07,75.8,<10,130,0.42,0.26,0.30,0.27,35.2,17.5,21,1.29,63.0,4.87,6.05,0.06,0.05,0.04,0.033,0.26,17.7,16.2,0.81,1205,0.69,0.01,0.20,13.7,580,12.7,13.6,<0.001,0.01,1.86,6.2,0.3,0.3,27.5,<0.01,0.06,3.2,0.023,0.09,0.47,46,0.29,12.30,88,1.6,Soil Certificates,TU22073852.csv,
PN0000996729,0.22,0.040,0.10,2.18,13.8,<10,110,0.53,0.25,0.50,0.18,38.7,13.8,29,2.70,56.4,4.22,5.87,0.08,0.05,0.04,0.025,0.31,18.6,19.7,0.93,817,0.55,0.01,0.37,15.3,420,10.0,19.8,<0.001,<0.01,0.58,5.9,<0.2,0.4,31.9,<0.01,0.07,3.9,0.056,0.14,0.62,62,0.54,12.25,72,1.5,Soil Certificates,TU22073852.csv,
PN0000996730,0.27,0.002,0.04,1.44,11.6,<10,100,0.50,0.73,0.43,0.13,39.6,16.5,51,6.07,48.8,7.28,5.46,0.11,0.03,0.02,0.020,0.37,17.0,30.4,0.73,680,0.86,0.01,0.24,19.5,710,11.2,22.9,<0.001,<0.01,0.24,4.5,0.2,0.3,19.3,<0.01,0.11,4.9,0.044,0.13,0.84,114,3.85,9.21,68,1.1,Soil Certificates,TU22073852.csv,
PN0000996731,0.21,<0.001,0.05,2.48,13.2,<10,130,0.59,0.17,0.35,0.14,35.2,16.7,20,1.21,26.3,4.25,7.53,0.06,0.07,0.03,0.024,0.20,17.4,15.6,1.29,785,0.39,0.01,0.21,14.7,370,8.7,14.4,<0.001,0.01,0.60,7.5,0.2,0.4,29.1,<0.01,0.04,4.4,0.028,0.12,0.50,87,0.13,11.70,66,2.3,Soil Certificates,TU22073852.csv,
PN0000996732,0.21,0.002,0.06,1.94,11.3,<10,100,0.35,0.27,0.42,0.26,29.7,15.1,16,0.61,52.6,3.82,4.93,0.05,0.06,0.06,0.023,0.18,13.6,11.6,1.14,855,0.26,0.01,0.26,11.1,390,11.8,9.0,<0.001,0.01,0.59,5.3,0.3,0.4,23.4,<0.01,0.08,2.1,0.019,0.07,0.32,63,0.09,10.20,65,1.6,Soil Certificates,TU22073852.csv,
PN0000996733,0.18,0.001,0.07,2.82,19.9,<10,120,0.64,0.13,0.49,0.15,31.1,20.5,20,1.11,35.9,4.79,8.00,0.06,0.09,0.05,0.021,0.22,14.3,19.0,1.61,1080,0.37,0.01,0.23,15.1,470,7.7,14.8,<0.001,0.01,0.68,8.4,0.2,0.4,30.5,<0.01,0.05,3.7,0.033,0.11,0.44,115,0.16,10.40,74,2.4,Soil Certificates,TU22073852.csv,
PN0000996734,0.20,0.006,0.08,2.34,11.4,<10,100,0.41,0.20,0.38,0.19,25.3,16.1,18,0.68,63.4,4.32,6.12,0.05,0.06,0.06,0.022,0.22,13.1,14.2,1.41,763,0.32,0.01,0.21,11.3,460,9.5,9.9,<0.001,0.01,0.64,6.1,0.3,0.4,26.1,<0.01,0.06,2.8,0.023,0.08,0.42,70,0.09,10.75,68,1.7,Soil Certificates,TU22073852.csv,
PN0000996735,0.20,0.019,0.07,2.28,7.6,<10,80,0.29,0.20,0.40,0.04,42.3,13.8,17,0.47,62.7,4.22,5.54,0.09,0.05,0.08,0.028,0.04,39.8,28.3,0.76,550,0.30,<0.01,0.06,9.4,370,11.4,2.1,<0.001,<0.01,0.64,6.2,0.3,0.2,26.3,<0.01,0.22,3.7,<0.005,0.02,0.66,35,0.06,14.45,73,1.3,Soil Certificates,TU22073852.csv,
PN0000996736,0.20,0.004,0.06,2.44,12.1,<10,110,0.38,0.09,0.76,0.11,26.2,19.5,22,0.64,62.0,4.41,5.52,0.06,0.06,0.05,0.024,0.06,14.9,12.4,1.14,887,0.29,<0.01,0.26,13.1,350,4.9,3.6,<0.001,<0.01,0.81,6.0,0.2,0.2,27.0,<0.01,0.05,2.2,0.028,0.03,0.30,59,0.12,12.85,62,1.6,Soil Certificates,TU22073852.csv,
PN0000996737,0.19,0.004,0.06,2.16,16.9,<10,110,0.53,0.43,0.50,0.15,80.6,15.7,20,0.83,75.4,3.73,5.80,0.09,0.08,0.06,0.032,0.16,36.4,29.6,0.74,610,0.58,0.01,0.33,14.5,490,14.0,9.4,<0.001,0.01,0.38,5.5,0.4,0.4,37.3,<0.01,0.23,5.1,0.014,0.07,0.67,36,0.08,18.10,78,2.3,Soil Certificates,TU22073852.csv,
PN0000996738,0.23,0.057,0.20,2.54,9.3,<10,100,0.38,0.15,0.63,0.13,21.5,16.0,17,0.68,151.0,4.89,6.77,0.05,0.06,0.10,0.046,0.10,11.2,15.4,1.19,1015,0.45,0.01,0.18,13.0,280,7.5,5.7,<0.001,0.01,0.62,17.2,0.3,0.3,30.6,<0.01,0.04,2.9,0.007,0.05,0.39,90,0.07,9.72,61,1.7,Soil Certificates,TU22073852.csv,
PN0000996739,0.22,0.003,0.04,1.31,3.3,<10,100,0.35,0.10,9.55,0.16,16.50,11.1,13,0.66,16.6,3.25,3.85,<0.05,0.05,0.04,0.024,0.08,8.2,7.9,0.57,864,0.51,0.01,0.23,11.6,550,4.5,6.2,<0.001,0.02,0.29,6.5,0.4,0.2,68.8,<0.01,0.05,0.9,0.011,0.05,0.28,47,0.08,5.73,37,1.1,Soil Certificates,TU22073852.csv,
PN0000996740,0.17,0.004,0.06,1.36,6.0,<10,110,0.44,0.17,0.57,0.15,28.7,8.7,16,0.91,24.0,3.19,3.88,<0.05,0.06,0.08,0.026,0.13,15.0,6.8,0.43,987,1.29,0.01,0.43,11.0,290,8.4,9.8,<0.001,0.02,0.67,4.5,0.4,0.4,33.2,<0.01,0.07,2.9,0.018,0.09,0.50,27,0.19,8.10,45,1.9,Soil Certificates,TU22073852.csv,
PN0000996741,0.19,0.002,0.06,1.50,6.6,<10,90,0.41,0.16,0.51,0.12,53.7,10.4,15,1.38,19.0,3.11,3.96,0.07,0.06,0.05,0.028,0.19,29.0,8.1,0.48,571,0.35,0.01,0.29,11.5,380,7.3,9.8,<0.001,0.01,0.31,6.5,0.4,0.3,22.7,<0.01,0.04,2.3,0.011,0.09,0.43,36,0.10,10.35,48,1.4,Soil Certificates,TU22073852.csv,
PN0000996742,0.20,0.002,0.06,2.34,11.8,<10,100,0.51,0.20,0.59,0.15,44.4,12.6,17,0.70,31.7,3.71,6.16,0.06,0.08,0.05,0.033,0.18,22.1,11.8,1.07,708,0.35,0.01,0.25,12.7,360,9.5,8.9,<0.001,0.01,0.40,9.0,0.3,0.4,31.8,<0.01,0.05,3.6,0.012,0.07,0.34,61,0.08,14.70,50,2.2,Soil Certificates,TU22073852.csv,
PN0000996743,0.21,0.001,0.05,2.61,9.5,<10,110,0.50,0.16,0.37,0.14,38.0,16.9,18,1.03,24.9,4.47,7.85,0.07,0.06,0.04,0.029,0.19,20.0,13.8,1.20,900,0.37,0.01,0.14,12.8,440,7.9,12.2,<0.001,0.01,0.33,11.4,0.2,0.4,26.5,<0.01,0.04,4.4,0.019,0.08,0.42,94,0.08,13.30,57,2.3,Soil Certificates,TU22073852.csv,
PN0000996744,0.21,0.008,0.07,1.46,8.0,<10,90,0.45,0.16,0.31,0.13,46.5,12.1,13,0.56,25.4,3.83,4.22,0.07,0.04,0.08,0.040,0.06,26.1,7.1,0.50,881,0.43,0.01,0.15,9.4,240,7.2,4.5,<0.001,0.01,0.31,10.2,0.2,0.3,23.1,<0.01,0.05,3.2,0.010,0.04,0.40,54,0.08,11.65,38,1.5,Soil Certificates,TU22073852.csv,
PN0000996745,0.26,0.020,0.10,1.88,6.4,<10,110,0.43,0.21,0.62,0.11,26.5,11.8,15,0.79,30.1,4.07,5.52,0.05,0.07,0.10,0.032,0.16,12.1,10.9,0.71,1075,0.84,0.01,0.31,11.7,320,7.4,8.9,<0.001,0.01,0.60,6.8,0.3,0.3,33.0,<0.01,0.06,3.4,0.012,0.07,0.34,35,0.08,6.60,51,2.1,Soil Certificates,TU22073852.csv,
PN0000996746,0.22,0.006,0.07,1.77,3.7,<10,80,0.40,0.14,5.11,0.17,20.3,12.3,16,0.86,26.4,3.90,4.62,<0.05,0.07,0.05,0.030,0.13,10.1,11.2,0.79,863,0.63,0.01,0.25,13.8,440,5.7,8.4,<0.001,0.01,0.46,6.6,0.3,0.3,81.5,<0.01,0.07,1.5,0.010,0.07,0.34,48,0.09,6.25,54,1.5,Soil Certificates,TU22073852.csv,
PN0000996747,0.29,0.015,0.09,1.10,4.4,<10,70,0.18,0.07,13.05,0.15,14.70,8.6,10,0.43,38.0,2.52,2.70,<0.05,0.05,0.08,0.021,0.07,7.1,6.7,0.56,557,0.49,0.01,0.14,7.5,320,4.1,4.1,<0.001,0.02,1.60,4.7,0.3,<0.2,152.0,<0.01,0.04,2.1,0.005,0.03,0.70,19,0.07,3.74,34,0.9,Soil Certificates,TU22073852.csv,
PN0000996748,0.25,0.007,0.11,2.17,4.5,<10,90,0.43,0.14,4.77,0.27,25.2,14.8,36,1.19,60.1,3.85,5.28,0.05,0.07,0.06,0.026,0.29,12.0,16.1,1.06,911,1.05,0.01,0.27,24.4,620,7.5,15.8,<0.001,0.01,0.58,6.2,0.3,0.3,63.8,<0.01,0.06,1.7,0.016,0.09,0.37,45,0.08,6.78,93,1.7,Soil Certificates,TU22073852.csv,
PN0000996749,0.23,0.004,0.05,1.72,4.2,<10,100,0.43,0.14,0.54,0.09,31.7,9.5,14,0.60,16.6,3.00,4.69,0.05,0.06,0.05,0.025,0.09,17.2,7.3,0.62,501,0.37,0.01,0.27,9.4,200,5.9,5.6,<0.001,0.01,0.39,6.2,0.3,0.3,28.3,<0.01,0.04,2.8,0.011,0.05,0.34,41,0.07,8.07,34,1.5,Soil Certificates,TU22073852.csv,
PN0000996750,0.20,0.008,0.05,3.40,15.8,<10,130,0.48,0.10,0.56,0.07,29.6,22.5,12,0.42,18.0,6.73,10.60,0.07,0.06,0.06,0.052,0.03,16.6,12.3,1.56,1235,0.32,0.01,0.06,10.9,370,4.3,2.1,<0.001,0.01,0.42,24.9,0.2,0.2,32.8,<0.01,0.06,2.5,0.010,0.02,0.40,184,0.07,17.00,53,1.6,Soil Certificates,TU22073852.csv,
PN0000996751,0.25,0.003,0.05,2.54,11.9,<10,60,0.49,0.12,0.44,0.13,12.60,26.7,19,0.49,15.8,5.27,6.48,0.08,0.06,0.08,0.014,0.04,7.0,13.4,1.50,1075,0.38,0.01,0.14,13.1,310,5.8,3.2,<0.001,<0.01,1.09,8.8,0.2,0.3,31.5,<0.01,0.04,2.1,0.068,0.03,0.36,162,<0.05,6.65,54,2.1,Soil Certificates,TU22073850.csv,
PN0000996752,0.24,0.003,0.04,1.90,9.8,<10,80,0.39,0.16,0.35,0.12,31.5,14.4,10,0.51,13.9,3.97,6.19,0.09,0.03,0.04,0.024,0.08,15.4,10.4,0.94,728,0.34,<0.01,0.20,8.8,370,8.3,4.4,<0.001,<0.01,0.52,7.9,0.3,0.3,21.5,<0.01,0.04,2.0,0.013,0.04,0.32,71,0.06,11.90,41,0.9,Soil Certificates,TU22073850.csv,
PN0000996753,0.19,0.004,0.04,2.02,22.6,<10,90,0.31,0.14,0.46,0.10,32.7,15.1,7,0.22,28.6,4.53,6.36,0.09,0.03,0.06,0.024,0.05,14.6,10.2,0.89,1090,0.37,<0.01,0.10,5.9,540,7.1,2.5,<0.001,<0.01,0.88,8.2,0.3,0.3,29.9,<0.01,0.04,1.7,0.008,0.02,0.34,57,0.06,12.05,60,0.9,Soil Certificates,TU22073850.csv,
PN0000996754,0.26,0.018,0.09,2.67,26.1,<10,100,0.59,0.17,0.52,0.12,27.2,18.2,20,1.20,49.4,4.94,7.87,0.09,0.07,0.05,0.033,0.10,15.4,16.6,1.26,1045,0.48,0.01,0.17,14.3,270,9.1,8.2,<0.001,<0.01,0.58,15.8,0.3,0.4,36.2,<0.01,0.04,3.9,0.017,0.07,0.46,134,0.11,11.80,59,2.4,Soil Certificates,TU22073850.csv,
PN0000996755,0.23,0.046,0.07,2.27,23.6,<10,100,0.55,0.21,0.50,0.13,41.4,17.1,17,1.14,40.4,4.45,6.53,0.09,0.05,0.05,0.027,0.15,19.1,14.4,1.02,1005,0.45,0.01,0.19,14.3,290,9.0,10.4,<0.001,0.01,0.50,8.6,0.2,0.4,26.0,<0.01,0.05,3.7,0.015,0.07,0.37,71,0.07,10.60,61,1.8,Soil Certificates,TU22073850.csv,
PN0000996756,0.21,0.001,0.04,2.11,8.6,<10,90,0.54,0.21,0.32,0.15,33.6,14.2,17,0.87,16.6,3.61,6.40,0.08,0.05,0.04,0.026,0.16,15.7,12.8,0.95,752,0.43,0.01,0.21,13.1,430,10.5,10.8,<0.001,0.01,0.47,7.1,0.3,0.5,26.8,<0.01,0.04,3.5,0.019,0.07,0.47,60,0.07,11.50,45,1.8,Soil Certificates,TU22073850.csv,
PN0000996757,0.23,0.002,0.06,2.21,7.1,<10,120,0.59,0.21,0.40,0.20,25.7,16.8,19,0.80,17.6,3.87,6.32,0.07,0.06,0.05,0.021,0.13,12.6,12.0,1.25,788,0.42,<0.01,0.21,16.0,380,10.6,10.8,<0.001,<0.01,0.65,5.5,0.2,0.5,27.9,<0.01,0.05,3.5,0.024,0.08,0.41,84,0.07,8.92,47,2.1,Soil Certificates,TU22073850.csv,
PN0000996758,0.20,0.009,0.14,1.92,6.2,<10,120,0.58,0.22,0.45,0.43,38.6,12.4,23,1.22,105.5,3.31,5.97,0.09,0.05,0.05,0.029,0.16,19.8,14.7,0.77,756,2.01,0.01,0.22,17.5,280,16.5,12.0,<0.001,<0.01,1.83,5.7,0.3,0.4,30.2,<0.01,0.05,4.1,0.015,0.10,0.47,40,0.07,9.64,63,2.0,Soil Certificates,TU22073850.csv,
PN0000996759,0.20,0.004,0.07,2.19,3.3,<10,70,0.36,0.13,4.56,0.10,34.0,16.4,15,1.10,56.0,4.44,6.17,0.08,0.07,0.03,0.024,0.15,16.1,18.0,1.10,752,0.38,0.01,0.18,17.4,470,5.3,10.6,<0.001,0.01,0.32,7.9,0.2,0.3,62.7,<0.01,0.05,2.4,0.013,0.07,0.28,71,0.07,6.21,60,1.8,Soil Certificates,TU22073850.csv,
PN0000996760,0.21,0.007,0.08,1.90,4.3,<10,100,0.47,0.14,6.48,0.31,27.7,12.2,25,1.38,51.9,3.35,5.08,0.07,0.05,0.04,0.025,0.24,12.9,16.1,1.14,812,1.15,0.01,0.30,23.7,410,7.2,15.8,<0.001,0.01,0.57,4.9,0.4,0.4,143.0,<0.01,0.03,2.2,0.022,0.09,0.38,35,0.07,6.62,88,1.4,Soil Certificates,TU22073850.csv,
PN0000996761,0.27,0.007,0.08,1.69,4.3,<10,100,0.43,0.14,6.69,0.32,25.9,11.6,22,1.23,50.6,3.10,4.67,0.06,0.05,0.04,0.025,0.21,12.2,15.4,1.07,772,1.13,0.01,0.28,23.5,410,7.1,14.2,<0.001,0.01,0.58,4.2,0.3,0.3,144.5,<0.01,0.04,1.8,0.016,0.09,0.38,32,0.08,6.54,83,1.4,Soil Certificates,TU22073850.csv,
PN0000996762,0.23,0.003,0.11,3.06,19.5,<10,180,0.69,0.13,1.32,0.19,35.8,32.3,185,2.36,106.0,5.50,10.85,0.13,0.04,0.05,0.050,0.38,17.3,20.6,2.24,901,0.46,0.01,0.27,111.0,250,7.5,21.5,<0.001,0.01,1.10,19.0,0.3,0.5,45.0,<0.01,0.04,2.9,0.086,0.14,0.28,154,0.06,9.17,69,1.6,Soil Certificates,TU22073850.csv,
PN0000996763,0.22,0.006,0.12,2.15,17.1,<10,100,0.54,0.15,0.92,0.17,32.6,13.4,25,1.09,82.6,3.75,5.88,0.08,0.06,0.06,0.029,0.16,14.9,18.4,0.84,775,1.39,0.01,0.30,19.3,340,11.3,11.4,<0.001,0.01,3.75,6.6,0.3,0.4,29.7,<0.01,0.05,2.9,0.014,0.09,0.41,41,0.08,7.90,74,1.6,Soil Certificates,TU22073850.csv,
PN0000996764,0.18,0.011,0.05,2.49,9.0,<10,90,0.37,0.08,0.50,0.06,12.15,23.5,11,0.20,21.1,4.97,7.80,0.07,0.04,0.07,0.013,0.04,6.6,11.7,1.58,1065,0.29,0.01,0.12,12.0,380,3.7,1.8,<0.001,0.01,0.72,8.5,0.4,0.3,29.0,<0.01,0.03,1.2,0.032,<0.02,0.27,124,<0.05,7.03,59,1.0,Soil Certificates,TU22073850.csv,
PN0000996765,0.23,0.004,0.05,2.42,13.8,<10,100,0.36,0.24,0.41,0.20,29.0,21.2,11,0.47,58.4,4.90,7.51,0.09,0.03,0.05,0.029,0.12,13.9,13.8,1.29,1025,0.48,0.01,0.21,11.2,500,13.0,5.6,<0.001,0.01,0.72,10.2,0.5,0.4,25.9,<0.01,0.07,1.3,0.023,0.04,0.31,114,0.09,10.50,58,0.7,Soil Certificates,TU22073850.csv,
PN0000996766,0.29,0.006,0.10,2.12,15.2,<10,110,0.40,0.14,0.48,0.09,32.1,16.5,11,0.46,241,4.28,6.19,0.09,0.04,0.04,0.021,0.06,15.6,11.6,0.97,949,0.34,0.01,0.16,9.0,260,5.1,3.7,<0.001,<0.01,1.23,7.5,0.4,0.3,28.1,<0.01,0.04,2.3,0.014,0.03,0.34,66,<0.05,14.10,58,1.2,Soil Certificates,TU22073850.csv,
PN0000996767,0.26,0.001,0.04,1.87,11.6,<10,100,0.44,0.08,0.35,0.15,28.3,13.7,11,0.60,61.2,3.28,5.04,0.07,0.04,0.03,0.015,0.08,13.6,11.8,0.77,621,0.37,0.01,0.20,9.2,300,5.4,5.5,<0.001,<0.01,0.71,4.3,0.3,0.3,23.6,<0.01,0.02,2.7,0.016,0.04,0.35,38,0.05,10.05,51,1.3,Soil Certificates,TU22073850.csv,
PN0000996768,0.24,0.008,0.07,3.28,9.2,<10,80,0.42,0.18,0.54,0.23,19.15,24.6,46,0.40,86.3,5.27,7.75,0.08,0.08,0.06,0.024,0.12,10.5,24.0,2.09,994,0.45,<0.01,0.18,22.4,420,9.5,5.5,<0.001,0.01,0.71,9.6,0.6,0.4,28.8,<0.01,0.05,1.9,0.012,0.04,0.33,86,0.06,9.52,67,2.0,Soil Certificates,TU22073850.csv,
PN0000996769,0.29,0.009,0.06,3.10,15.4,<10,60,0.32,0.08,0.42,0.09,13.45,30.7,50,0.32,63.5,5.15,6.26,0.08,0.03,0.05,0.013,0.05,7.0,24.2,2.17,1010,0.41,<0.01,0.06,24.8,350,4.9,2.5,<0.001,<0.01,1.26,5.9,0.3,0.2,27.2,<0.01,0.02,1.3,0.013,0.02,0.24,89,0.05,8.00,60,1.0,Soil Certificates,TU22073850.csv,
PN0000996770,0.28,0.004,0.07,2.15,15.4,<10,100,0.54,0.11,0.47,0.08,27.3,13.2,21,0.47,60.9,4.05,6.21,0.08,0.05,0.06,0.021,0.06,16.2,13.6,1.01,661,0.47,<0.01,0.17,13.0,240,6.8,3.2,<0.001,<0.01,0.66,7.5,0.3,0.3,29.7,<0.01,0.04,2.6,0.012,0.03,0.44,72,0.07,10.55,65,1.7,Soil Certificates,TU22073850.csv,
PN0000996771,0.29,0.005,0.04,1.38,62.2,<10,140,0.43,0.10,0.44,0.07,40.6,6.4,8,0.77,76.4,3.04,3.99,0.10,0.04,0.05,0.015,0.07,21.6,7.5,0.45,554,0.63,<0.01,0.13,5.5,220,6.4,3.3,<0.001,<0.01,0.42,3.4,0.4,0.2,24.1,<0.01,0.02,1.8,0.005,0.03,0.35,27,0.07,9.50,65,1.2,Soil Certificates,TU22073850.csv,
PN0000996772,0.31,0.004,0.05,2.09,30.1,<10,110,0.40,0.10,0.49,0.09,20.9,17.6,28,0.40,78.2,4.20,5.34,0.08,0.03,0.06,0.018,0.05,10.6,11.0,1.04,755,0.41,0.01,0.09,13.6,250,6.5,2.7,<0.001,<0.01,1.46,7.2,0.3,0.2,28.3,<0.01,0.03,1.7,0.025,0.02,0.27,63,<0.05,9.80,69,1.1,Soil Certificates,TU22073850.csv,
